[Header]
Application Name	LabSolutions
3.35833	-366
3.36667	-366
3.37500	-367
3.38333	-368
3.39167	-369
3.40000	-370
3.40833	-371
3.41667	-372
3.42500	-373
3.43333	-374
3.44167	-375
3.45000	-376
3.45833	-377
3.46667	-378
3.47500	-379
3.48333	-380
3.49167	-381
3.50000	-382
3.50833	-383
3.51667	-384
3.52500	-384
3.53333	-385
3.54167	-386
3.55000	-387
3.55833	-388
3.56667	-389
3.57500	-389
3.58333	-390
3.59167	-391
3.60000	-392
3.60833	-394
3.61667	-395
3.62500	-396
3.63333	-397
3.64167	-398
3.65000	-399
3.65833	-400
3.66667	-401
3.67500	-401
3.68333	-402
3.69167	-403
3.70000	-404
3.70833	-405
3.71667	-406
3.72500	-407
3.73333	-408
3.74167	-409
3.75000	-410
3.75833	-411
3.76667	-412
3.77500	-413
3.78333	-414
3.79167	-414
3.80000	-415
3.80833	-416
3.81667	-417
3.82500	-418
3.83333	-419
3.84167	-420
3.85000	-421
3.85833	-422
3.86667	-422
3.87500	-423
3.88333	-424
3.89167	-425
3.90000	-426
3.90833	-427
3.91667	-427
3.92500	-428
3.93333	-429
3.94167	-430
3.95000	-431
3.95833	-431
3.96667	-432
3.97500	-433
3.98333	-434
3.99167	-436
4.00000	-437
4.00833	-438
4.01667	-439
4.02500	-440
4.03333	-441
4.04167	-442
4.05000	-443
4.05833	-444
4.06667	-445
4.07500	-445
4.08333	-446
4.09167	-447
4.10000	-447
4.10833	-448
4.11667	-449
4.12500	-451
4.13333	-452
4.14167	-453
4.15000	-454
4.15833	-455
4.16667	-456
4.17500	-457
4.18333	-457
4.19167	-458
4.20000	-459
4.20833	-460
4.21667	-461
4.22500	-462
4.23333	-463
4.24167	-464
4.25000	-465
4.25833	-466
4.26667	-467
4.27500	-467
4.28333	-468
4.29167	-469
4.30000	-470
4.30833	-471
4.31667	-472
4.32500	-474
4.33333	-475
4.34167	-476
4.35000	-476
4.35833	-477
4.36667	-477
4.37500	-478
4.38333	-479
4.39167	-480
4.40000	-481
4.40833	-482
4.41667	-483
4.42500	-484
4.43333	-485
4.44167	-486
4.45000	-487
4.45833	-488
4.46667	-489
4.47500	-490
4.48333	-490
4.49167	-491
4.50000	-492
4.50833	-493
4.51667	-494
4.52500	-495
4.53333	-496
4.54167	-497
4.55000	-498
4.55833	-499
4.56667	-499
4.57500	-500
4.58333	-501
4.59167	-502
4.60000	-503
4.60833	-504
4.61667	-505
4.62500	-506
4.63333	-507
4.64167	-508
4.65000	-509
4.65833	-510
4.66667	-511
4.67500	-512
4.68333	-513
4.69167	-514
4.70000	-515
4.70833	-516
4.71667	-517
4.72500	-517
4.73333	-518
4.74167	-519
4.75000	-520
4.75833	-521
4.76667	-522
4.77500	-523
4.78333	-524
4.79167	-524
4.80000	-525
4.80833	-526
4.81667	-527
4.82500	-528
4.83333	-529
4.84167	-530
4.85000	-531
4.85833	-532
4.86667	-533
4.87500	-534
4.88333	-534
4.89167	-535
4.90000	-536
4.90833	-537
4.91667	-538
4.92500	-539
4.93333	-540
4.94167	-541
4.95000	-542
4.95833	-543
4.96667	-543
4.97500	-544
4.98333	-545
4.99167	-546
5.00000	-547
5.00833	-548
5.01667	-549
5.02500	-550
5.03333	-551
5.04167	-552
5.05000	-553
5.05833	-554
5.06667	-555
5.07500	-556
5.08333	-557
5.09167	-557
5.10000	-558
5.10833	-560
5.11667	-561
5.12500	-562
5.13333	-563
5.14167	-563
5.15000	-564
5.15833	-565
5.16667	-566
5.17500	-567
5.18333	-568
5.19167	-569
5.20000	-569
5.20833	-570
5.21667	-571
5.22500	-573
5.23333	-574
5.24167	-574
5.25000	-575
5.25833	-576
5.26667	-577
5.27500	-578
5.28333	-579
5.29167	-580
5.30000	-581
5.30833	-582
5.31667	-584
5.32500	-585
5.33333	-586
5.34167	-586
5.35000	-587
5.35833	-588
5.36667	-589
5.37500	-590
5.38333	-590
5.39167	-591
5.40000	-591
5.40833	-592
5.41667	-593
5.42500	-594
5.43333	-595
5.44167	-596
5.45000	-597
5.45833	-598
5.46667	-599
5.47500	-600
5.48333	-601
5.49167	-602
5.50000	-603
5.50833	-604
5.51667	-605
5.52500	-606
5.53333	-606
5.54167	-607
5.55000	-608
5.55833	-609
5.56667	-610
5.57500	-611
5.58333	-612
5.59167	-614
5.60000	-615
5.60833	-615
5.61667	-616
5.62500	-617
5.63333	-618
5.64167	-619
5.65000	-619
5.65833	-620
5.66667	-621
5.67500	-622
5.68333	-623
5.69167	-624
5.70000	-625
5.70833	-626
5.71667	-627
5.72500	-627
5.73333	-628
5.74167	-629
5.75000	-630
5.75833	-631
5.76667	-632
5.77500	-633
5.78333	-634
5.79167	-635
5.80000	-637
5.80833	-638
5.81667	-639
5.82500	-640
5.83333	-641
5.84167	-642
5.85000	-642
5.85833	-643
5.86667	-644
5.87500	-645
5.88333	-647
5.89167	-648
5.90000	-649
5.90833	-650
5.91667	-650
5.92500	-651
5.93333	-652
5.94167	-653
5.95000	-653
5.95833	-654
5.96667	-655
5.97500	-656
5.98333	-657
5.99167	-658
6.00000	-659
6.00833	-660
6.01667	-661
6.02500	-662
6.03333	-663
6.04167	-664
6.05000	-665
6.05833	-666
6.06667	-667
6.07500	-668
6.08333	-669
6.09167	-670
6.10000	-671
6.10833	-672
6.11667	-672
6.12500	-673
6.13333	-674
6.14167	-675
6.15000	-676
6.15833	-677
6.16667	-678
6.17500	-679
6.18333	-680
6.19167	-681
6.20000	-682
6.20833	-683
6.21667	-684
6.22500	-684
6.23333	-685
6.24167	-686
6.25000	-687
6.25833	-687
6.26667	-688
6.27500	-689
6.28333	-690
6.29167	-691
6.30000	-692
6.30833	-693
6.31667	-693
6.32500	-694
6.33333	-695
6.34167	-696
6.35000	-697
6.35833	-698
6.36667	-699
6.37500	-700
6.38333	-701
6.39167	-702
6.40000	-703
6.40833	-704
6.41667	-705
6.42500	-707
6.43333	-708
6.44167	-708
6.45000	-709
6.45833	-710
6.46667	-711
6.47500	-711
6.48333	-712
6.49167	-713
6.50000	-713
6.50833	-714
6.51667	-715
6.52500	-715
6.53333	-716
6.54167	-717
6.55000	-718
6.55833	-719
6.56667	-720
6.57500	-721
6.58333	-722
6.59167	-723
6.60000	-724
6.60833	-725
6.61667	-725
6.62500	-726
6.63333	-727
6.64167	-729
6.65000	-729
6.65833	-730
6.66667	-731
6.67500	-732
6.68333	-733
6.69167	-734
6.70000	-735
6.70833	-736
6.71667	-737
6.72500	-738
6.73333	-739
6.74167	-740
6.75000	-741
6.75833	-742
6.76667	-743
6.77500	-744
6.78333	-745
6.79167	-746
6.80000	-747
6.80833	-748
6.81667	-749
6.82500	-750
6.83333	-751
6.84167	-751
6.85000	-752
6.85833	-754
6.86667	-755
6.87500	-756
6.88333	-757
6.89167	-758
6.90000	-758
6.90833	-759
6.91667	-760
6.92500	-761
6.93333	-762
6.94167	-763
6.95000	-764
6.95833	-765
6.96667	-765
6.97500	-766
6.98333	-767
6.99167	-768
7.00000	-769
7.00833	-770
7.01667	-771
7.02500	-772
7.03333	-773
7.04167	-774
7.05000	-775
7.05833	-776
7.06667	-777
7.07500	-777
7.08333	-778
7.09167	-780
7.10000	-781
7.10833	-782
7.11667	-783
7.12500	-783
7.13333	-784
7.14167	-785
7.15000	-785
7.15833	-786
7.16667	-788
7.17500	-788
7.18333	-789
7.19167	-790
7.20000	-791
7.20833	-792
7.21667	-793
7.22500	-794
7.23333	-795
7.24167	-796
7.25000	-797
7.25833	-798
7.26667	-799
7.27500	-799
7.28333	-801
7.29167	-802
7.30000	-803
7.30833	-804
7.31667	-805
7.32500	-806
7.33333	-806
7.34167	-807
7.35000	-808
7.35833	-809
7.36667	-810
7.37500	-811
7.38333	-811
7.39167	-812
7.40000	-813
7.40833	-814
7.41667	-815
7.42500	-816
7.43333	-817
7.44167	-818
7.45000	-819
7.45833	-820
7.46667	-821
7.47500	-822
7.48333	-823
7.49167	-824
7.50000	-825
7.50833	-826
7.51667	-827
7.52500	-828
7.53333	-828
7.54167	-829
7.55000	-830
7.55833	-831
7.56667	-832
